device,VIN,data_collector,time_sensor,time_session,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,latitude,longitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,runtime_since_engine_start,short_term_fuel_trim_bank_1
null,null,App2Car,2026-02-02T16:02:10.117907,2026-02-02T16:02:09,,19.0,,25.0,783.0,0.0,-0.4405331015586853,10.287884712219238,0.3974374830722809,10.304979273071542,,,,9.5,37.0,,,,,0.0,,,1,Não identificado,,,0.0,0.8,,,,,,
null,null,App2Car,2026-02-02T16:02:11.119271,2026-02-02T16:02:09,14.3,21.0,,25.0,783.0,0.0,0.5841852426528931,10.216058731079102,0.5003881454467773,10.244975192292786,,,,9.5,37.0,1.71,14.0,50.59,,229.215,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1,,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:12.118983,2026-02-02T16:02:09,14.3,20.0,,26.0,788.0,0.0,-0.3519476354122162,9.761159896850586,-0.24660277366638184,9.770615261995344,-5.8433523,-35.1976988,,8.0,37.0,1.75,14.0,50.59,,218.8,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1,,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:13.118658,2026-02-02T16:02:09,14.3,24.0,,26.0,807.0,0.0,-0.727837324142456,9.155426979064941,-2.0829553604125977,9.417552408820278,-5.8433523,-35.1976988,,6.0,37.0,2.07,15.0,50.59,,276.84000000000003,,,0,Etanol,,,0.0,0.7,68.0,0.0,1,0.53,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:14.119138,2026-02-02T16:02:09,14.3,31.0,,27.0,844.0,3.0,-0.43095630407333374,9.028534889221191,-3.0621838569641113,9.543434159449966,-5.8433523,-35.1976988,,24.5,37.0,3.66,16.0,50.59,,415.47999999999996,,,1,Gasolina,,,1.0,0.5666666666666667,68.0,0.0,2,0.5,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:15.119001,2026-02-02T16:02:09,14.3,24.0,,25.0,1136.0,6.0,0.8643068075180054,10.83855152130127,-1.2641384601593018,10.94619894684351,-5.8433523,-35.1976988,,27.0,37.0,3.11,15.0,50.59,,395.4,,,1,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2,0.73,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:16.118885,2026-02-02T16:02:09,14.3,23.0,,23.0,1212.0,9.0,0.43095630407333374,10.002974510192871,-1.9800047874450684,10.206157031218668,-5.8433523,-35.1976988,,7.5,37.0,2.75,15.0,50.59,,433.91999999999996,,,1,Gasolina,,,0.0,0.6666666666666666,68.0,0.0,2,0.5,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:17.119483,2026-02-02T16:02:09,14.3,20.0,,28.0,1027.0,10.0,-2.432508945465088,8.832210540771484,-3.845088005065918,9.935277780363485,-5.84343,-35.1976904,,3.0,37.0,1.87,14.0,50.59,,364.05,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2,0.53,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:18.119534,2026-02-02T16:02:09,14.3,30.0,,35.0,1007.0,12.0,3.6152446269989014,8.401253700256348,-5.9974751472473145,10.937127849255699,-5.84343,-35.1976904,,26.0,37.0,3.56,16.0,50.59,,547.47,,,1,Etanol,,,0.0,0.5666666666666667,68.0,0.0,2,0.93,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:19.119803,2026-02-02T16:02:09,14.3,33.0,,32.0,1124.0,14.0,0.7134721279144287,9.93354320526123,-1.0869675874710083,10.018274383561016,-5.84343,-35.1976904,,26.5,37.0,4.07,16.0,50.59,,640.14,,,1,Etanol,,,0.0,0.6333333333333333,68.0,0.0,2,0.87,313.0,-7.03
null,null,App2Car,2026-02-02T16:02:20.119443,2026-02-02T16:02:09,14.3,18.0,,24.0,1166.0,15.0,0.9911994934082031,11.3269681930542,-0.8834604024887085,11.404524854852994,-5.84343,-35.1976904,,21.0,37.0,2.26,15.0,50.59,,439.89,,,1,Etanol,,,0.0,0.9,68.0,0.0,2,0.53,313.0,-7.03
